┌─────────┬──────────┬──────────────────┬────────────────┬──────────┬──────────┐
│ (index) │   sku    │   account_ref    │    user_ref    │ quantity │  value   │
│   45    │ 'ZLOGTG' │ 'GZXGVEXMRXWZWF' │ 'TQLOUKGLHXMU' │   '3'    │ '435.57' │
│   46    │ 'PXQONS' │        ''        │       ''       │   '3'    │ '519.16' │
│   47    │ 'BPCTIF' │ 'HPSCSBBAHVLGIP' │ 'OFXISARBNLYE' │   '3'    │ '159.54' │
│   48    │ 'ABVFJK' │        ''        │       ''       │   '3'    │ '208.45' │
│   49    │ 'ORLPVQ' │        ''        │       ''       │   '3'    │ '448.06' │
│   50    │ 'HLXZKR' │ 'EEQIYOTPAHKNVD' │ 'JXLSMZSVSTAM' │   '2'    │ '260.37' │
│   51    │ 'HLXZKR' │        ''        │       ''       │   '3'    │ '329.62' │
│   52    │ 'FCSXUS' │ 'OOQOGDHJAEEKUY' │       ''       │   '2'    │ '139.65' │
│   53    │ 'VAYGFG' │        ''        │       ''       │   '3'    │  '20.6'  │
│   54    │ 'RDCDDO' │ 'JNSPJHXIEPVHUK' │       ''       │   '3'    │ '187.47' │
│   55    │ 'GWRRMM' │        ''        │       ''       │   '2'    │ '175.1'  │
│   56    │ 'VYCQTU' │ 'GDJUGVWKJFEOKI' │ 'TZCAIGVGJTZP' │   '3'    │ '282.91' │
│   57    │ 'MFILOM' │        ''        │       ''       │   '3'    │ '457.5'  │
│   58    │ 'XVPTKN' │        ''        │       ''       │   '2'    │ '175.18' │
│   59    │ 'ENBGES' │        ''        │       ''       │   '1'    │ '487.46' │
│   60    │ 'FZCKLR' │        ''        │       ''       │   '3'    │ '72.15'  │
│   61    │ 'GRIPPM' │ 'RWBXBPZDPATPKA' │       ''       │   '3'    │ '617.57' │
│   62    │ 'TOENGP' │ 'RUKHEBAJALWYKK' │ 'DDITCMAUJGAY' │   '1'    │ '534.81' │
│   63    │ 'LPMJXH' │        ''        │       ''       │   '3'    │ '196.43' │
│   64    │ 'RIAZZI' │ 'IOAADSVPVRUPTA' │       ''       │   '1'    │ '19.22'  │
│   65    │ 'TTVXFA' │ 'NJOZWEISLGCJOV' │       ''       │   '2'    │ '243.98' │
│   66    │ 'ZPSRRM' │        ''        │       ''       │   '1'    │ '159.43' │
│   67    │ 'HBZJHS' │        ''        │       ''       │   '1'    │ '241.03' │
│   68    │ 'NODXXC' │ 'QRNAVWLPUZQITP' │ 'ZEGHBDVPWLNU' │   '3'    │ '70.21'  │
│   69    │ 'PDMHDZ' │ 'GALHQACPTWQCJT' │ 'FSJMRLCSUGBB' │   '3'    │ '581.18' │
│   70    │ 'DDABCJ' │        ''        │       ''       │   '2'    │ '288.77' │
│   71    │ 'FDVPSH' │ 'OOQOGDHJAEEKUY' │       ''       │   '3'    │ '257.9'  │
│   72    │ 'HVJRNO' │        ''        │       ''       │   '1'    │ '181.03' │
│   73    │ 'VCUYXT' │        ''        │       ''       │   '3'    │ '475.18' │
│   74    │ 'RRDNCQ' │ 'XVRYMRTTPAWSKJ' │       ''       │   '3'    │ '50.94'  │
│   75    │ 'QXMABR' │ 'GDPFCIAQHLQZSI' │ 'OGDARBYRVFDU' │   '1'    │ '90.32'  │
│   76    │ 'SFBWPI' │ 'WAOINRPYKFAPYX' │       ''       │   '2'    │ '242.73' │
│   77    │ 'PTVVHC' │        ''        │       ''       │   '3'    │ '303.8'  │
│   78    │ 'AIVBTM' │ 'VJRPJMAIFJVHZY' │ 'FYEMUBVFJLBR' │   '2'    │ '229.93' │
│   79    │ 'VYONAL' │ 'WAOINRPYKFAPYX' │       ''       │   '2'    │ '283.58' │
│   80    │ 'IQIMWT' │ 'VCRUGATORCZQYM' │ 'FWUBZGTXHYGA' │   '3'    │ '215.57' │
│   81    │ 'MVNGKY' │ 'MGWKMVNHKPDSEL' │       ''       │   '1'    │ '388.11' │
│   82    │ 'JAEXEY' │        ''        │       ''       │   '1'    │ '342.7'  │
│   83    │ 'DALMSE' │        ''        │       ''       │   '2'    │ '399.33' │
│   84    │ 'BZACDI' │ 'NPZJJKVXUBPROD' │ 'CCLWHWVIXZTO' │   '2'    │  '91.8'  │
│   85    │ 'DHYAHM' │        ''        │       ''       │   '2'    │ '442.01' │
│   86    │ 'DPKANN' │        ''        │       ''       │   '2'    │ '205.44' │
│   87    │ 'OHYPHF' │        ''        │       ''       │   '1'    │ '423.98' │
│   88    │ 'KLPYHB' │ 'LGMWDGCFACOBTT' │       ''       │   '2'    │ '121.13' │
│   89    │ 'VSYJBC' │ 'HNDBOLUEJSVMQZ' │ 'FQUWWWVSLAOG' │   '3'    │ '533.24' │
│   90    │ 'CHBXME' │        ''        │       ''       │   '2'    │ '107.03' │
│   91    │ 'LGJXQZ' │        ''        │       ''       │   '2'    │ '596.25' │
│   92    │ 'ZLZZEI' │ 'ZQPTWAMMBXNTWN' │ 'FYJWSIIFCMCQ' │   '1'    │ '237.95' │
│   93    │ 'TEPLLG' │        ''        │       ''       │   '1'    │ '58.86'  │
│   94    │ 'NFEYSV' │ 'AGQJMCJXWWLXZB' │ 'AEHCWZYBCPOZ' │   '1'    │ '494.75' │
│   95    │ 'NFEYSV' │        ''        │       ''       │   '1'    │ '490.12' │
│   96    │ 'FDYIFV' │        ''        │       ''       │   '3'    │ '636.57' │
│   97    │ 'KIDUDZ' │        ''        │       ''       │   '3'    │ '363.21' │
│   98    │ 'LJYDHD' │ 'VZDOMPTFEBLUQK' │       ''       │   '2'    │ '202.37' │
│   99    │ 'IEZWKH' │ 'LRRXUXIRTTHVNI' │ 'VQGSCAGBVDLR' │   '1'    │ '418.56' │
│   100   │ 'PWCYRR' │        ''        │       ''       │   '1'    │ '505.26' │
│   101   │ 'FEFWPU' │        ''        │       ''       │   '1'    │ '537.7'  │
│   102   │ 'KXSJXJ' │ 'TXASWXRDMHLMAK' │       ''       │   '1'    │ '311.77' │
│   103   │ 'DMLTDA' │        ''        │       ''       │   '3'    │ '205.13' │
│   104   │ 'RPLAXB' │ 'ZRFBQSLERGJGDJ' │ 'LDZYOILTIGNK' │   '2'    │ '588.61' │
│   105   │ 'HPSSGK' │ 'QRPNZPCMXDVXKQ' │       ''       │   '1'    │ '374.65' │
│   106   │ 'ESNTXV' │ 'NYMPBWJHCZRQOV' │ 'TKDCTQRJHMZL' │   '2'    │ '68.14'  │
│   107   │ 'GXZCIC' │ 'GOEBVJVORDQDNQ' │ 'PCZBMSPNLBXI' │   '3'    │ '530.22' │
│   108   │ 'OUVLNL' │ 'GRFHKUTJJHHQRD' │       ''       │   '3'    │ '449.08' │
│   109   │ 'SWPAHE' │        ''        │       ''       │   '2'    │ '196.79' │
│   110   │ 'LDBSQD' │ 'ZJURRWEKLFDEBE' │       ''       │   '1'    │ '321.29' │
│   111   │ 'MOYPKO' │ 'MBXTGYMELOGTBL' │ 'ZTWJTNSOHXZE' │   '1'    │ '522.7'  │
│   112   │ 'TQZVEN' │        ''        │       ''       │   '1'    │ '465.66' │
│   113   │ 'ZVAFGN' │        ''        │       ''       │   '3'    │ '39.67'  │
│   114   │ 'NOQBAW' │        ''        │       ''       │   '3'    │ '148.36' │
│   115   │ 'KYVSRU' │        ''        │       ''       │   '1'    │ '22.84'  │
│   116   │ 'ZESRYQ' │ 'NJFGQKWRFTZBKM' │ 'MCWLFGFGYJOR' │   '1'    │ '609.34' │
│   117   │ 'GXBOLA' │ 'YRAXQFDONPSDVI' │       ''       │   '2'    │ '375.23' │
│   118   │ 'TOUXPF' │        ''        │       ''       │   '2'    │ '461.46' │
│   119   │ 'LUXJAM' │        ''        │       ''       │   '2'    │ '522.27' │
│   120   │ 'RDTMMN' │        ''        │       ''       │   '1'    │ '436.08' │
│   121   │ 'WHAOAU' │        ''        │       ''       │   '2'    │  '43.2'  │
│   122   │ 'PTEIHD' │        ''        │       ''       │   '1'    │ '364.85' │
│   123   │ 'BSGTVA' │ 'NSHJCRAVGQCHGR' │ 'PSJMZVPNJRBT' │   '1'    │ '203.09' │
│   124   │ 'PJOINX' │ 'LCJGUZEMHDDHTU' │       ''       │   '3'    │ '195.19' │
│   125   │ 'FXDKNK' │ 'NRQXJZMMYINMJE' │ 'GOCHWPTKJAHR' │   '2'    │  '297'   │
│   126   │ 'RTXBZT' │ 'SKPYFIEEXASCBX' │       ''       │   '2'    │ '178.24' │
│   127   │ 'TKVLEN' │ 'GLMCAEAKCPYLMY' │ 'MRMKOXIPWLBD' │   '1'    │ '82.25'  │
│   128   │ 'QQITHM' │        ''        │       ''       │   '3'    │ '192.33' │
│   129   │ 'ICVLPU' │ 'HPMPEYLOHEYHHR' │       ''       │   '3'    │ '614.83' │
│   130   │ 'WOAIXA' │ 'DUKXVFBQGGPLLO' │       ''       │   '1'    │ '321.88' │
│   131   │ 'GCSTRX' │        ''        │       ''       │   '2'    │ '486.49' │
│   132   │ 'EGSYUM' │        ''        │       ''       │   '2'    │ '334.39' │
│   133   │ 'OGPKEI' │        ''        │       ''       │   '3'    │ '547.8'  │
│   134   │ 'PXGGYU' │ 'IWVVPFBDCKJZBQ' │ 'MMTTEAZIFJJD' │   '3'    │ '184.45' │
│   135   │ 'UBDQOZ' │ 'LIGDQPGUDSYVMP' │ 'AZEBGDAOXKZB' │   '3'    │ '79.05'  │
│   136   │ 'CTGBZE' │ 'MDUGFBEPFGZAOF' │       ''       │   '2'    │ '55.78'  │
│   137   │ 'TKVLEN' │        ''        │       ''       │   '1'    │ '86.02'  │
│   138   │ 'RVOGGO' │ 'OJYXAUXDRBVCSY' │       ''       │   '1'    │ '338.95' │
│   139   │ 'WPFTVA' │        ''        │       ''       │   '1'    │ '621.66' │
│   140   │ 'RNLEHS' │ 'DVBZERSLTNOOQL' │       ''       │   '3'    │ '260.17' │
│   141   │ 'LUMMJL' │        ''        │       ''       │   '3'    │ '138.29' │
│   142   │ 'OCKZIU' │        ''        │       ''       │   '1'    │ '47.95'  │
│   143   │ 'FUBERN' │ 'AGJTBYHMNUUOKO' │       ''       │   '2'    │ '406.89' │
│   144   │ 'UBDQOZ' │        ''        │       ''       │   '3'    │ '97.56'  │
│   145   │ 'CLRWAC' │ 'JYHQODFBHGGQEX' │       ''       │   '1'    │ '516.74' │
│   146   │ 'UWQCKB' │        ''        │       ''       │   '1'    │ '278.22' │
│   147   │ 'YYDAQO' │        ''        │       ''       │   '2'    │ '487.59' │
│   148   │ 'BFLJLO' │        ''        │       ''       │   '3'    │ '473.05' │
│   149   │ 'OQIMLI' │ 'JNPMNVBGNAKADC' │       ''       │   '1'    │ '340.08' │
│   150   │ 'MJSTRN' │        ''        │       ''       │   '2'    │ '341.97' │
│   151   │ 'HUQURU' │ 'SCJESGWDRCCFGV' │       ''       │   '3'    │ '387.43' │
│   152   │ 'UHRBHW' │ 'KJCUFCNRPPPWLF' │ 'GAHKYIFAUMCY' │   '1'    │ '236.03' │
│   153   │ 'NXRDTP' │        ''        │       ''       │   '3'    │ '198.2'  │
│   154   │ 'OEPYWR' │        ''        │       ''       │   '2'    │ '183.53' │
│   155   │ 'ZGKWJJ' │        ''        │       ''       │   '1'    │ '536.33' │
│   156   │ 'YJKSWN' │ 'YOARLCXLSVBKQL' │       ''       │   '2'    │ '101.65' │
│   157   │ 'HQXMIT' │ 'BROZYUDGFDBFIV' │       ''       │   '3'    │ '464.15' │
│   158   │ 'XHHRQK' │ 'JVSKUVGJKPTJJW' │       ''       │   '1'    │ '277.32' │
│   159   │ 'GRANUY' │        ''        │       ''       │   '2'    │ '315.92' │
│   160   │ 'VWYCGJ' │ 'ZVXDMBNMNOWUTF' │ 'XPMKKGRNWPAE' │   '3'    │ '605.34' │
│   161   │ 'ZZCDUA' │        ''        │       ''       │   '1'    │ '470.55' │
│   162   │ 'SAWVYF' │ 'FIPHMPWQQRWWGO' │       ''       │   '2'    │ '429.57' │
│   163   │ 'ONMOBY' │        ''        │       ''       │   '1'    │ '388.14' │
│   164   │ 'KHXHVQ' │        ''        │       ''       │   '3'    │ '231.68' │
│   165   │ 'RFLEWC' │        ''        │       ''       │   '1'    │ '138.33' │
│   166   │ 'FFTMEP' │        ''        │       ''       │   '3'    │ '61.34'  │
│   167   │ 'BLYIKT' │ 'IBCCRYUUGSMIZD' │       ''       │   '2'    │ '251.37' │
│   168   │ 'XAKYEH' │        ''        │       ''       │   '1'    │ '256.54' │
│   169   │ 'WDDGYX' │ 'GDPFCIAQHLQZSI' │ 'UTDRRNYXWALO' │   '2'    │ '51.31'  │
│   170   │ 'SOISOL' │        ''        │       ''       │   '1'    │ '43.49'  │
│   171   │ 'XZKVZX' │        ''        │       ''       │   '2'    │ '482.63' │
│   172   │ 'FWNECT' │ 'YSIZYUWNWYXSBI' │       ''       │   '3'    │ '364.52' │
│   173   │ 'OJHKUB' │        ''        │       ''       │   '1'    │ '352.26' │
│   174   │ 'GPMNWX' │        ''        │       ''       │   '3'    │ '188.02' │
│   175   │ 'ASDVOR' │ 'LZDRTTXHQLPRGV' │       ''       │   '1'    │ '468.85' │
│   176   │ 'OKRRTP' │        ''        │       ''       │   '1'    │ '466.73' │
│   177   │ 'PDNGTS' │ 'DTIRZHVIFOURDF' │ 'VFPKAHRYVCBX' │   '2'    │ '482.46' │
│   178   │ 'MZHBBY' │ 'RJTAJCXGATPWPB' │ 'FFXHRPEZDIXM' │   '1'    │ '574.5'  │
│   179   │ 'PGYDGL' │ 'ZSBSBPYUEVPADP' │       ''       │   '3'    │ '647.74' │
│   180   │ 'OEFWQH' │        ''        │       ''       │   '3'    │ '346.83' │
│   181   │ 'HLLYJB' │        ''        │       ''       │   '3'    │ '75.09'  │
│   182   │ 'FVEUEJ' │        ''        │       ''       │   '2'    │ '413.34' │
│   183   │ 'ATBZOB' │        ''        │       ''       │   '2'    │ '299.89' │
│   184   │ 'NTYDJQ' │        ''        │       ''       │   '1'    │ '20.07'  │
│   185   │ 'KSLNFZ' │        ''        │       ''       │   '3'    │ '601.69' │
│   186   │ 'CUOUFL' │ 'TFTHAAAOWRNIJO' │       ''       │   '2'    │ '179.03' │
│   187   │ 'WEYIRG' │ 'ZYDLMBLFHGZMOS' │       ''       │   '1'    │ '371.32' │
│   188   │ 'QIQVFG' │        ''        │       ''       │   '2'    │ '494.73' │
│   189   │ 'IXYPPW' │        ''        │       ''       │   '1'    │ '508.64' │
│   190   │ 'ONTXJQ' │ 'EDOIBPJWNEYGIR' │ 'KGFEFSKJIRVG' │   '2'    │ '500.2'  │
│   191   │ 'LIJHHE' │        ''        │       ''       │   '3'    │ '245.57' │
│   192   │ 'EZWBEV' │        ''        │       ''       │   '1'    │ '190.67' │
│   193   │ 'QDTVED' │ 'YPGYHILEWOYBLN' │       ''       │   '2'    │ '228.61' │
│   194   │ 'RGEVAD' │        ''        │       ''       │   '1'    │ '487.15' │
│   195   │ 'SBLJUT' │ 'XYRGNWKHNBOPUI' │ 'ONGSAKWEQYSQ' │   '2'    │ '265.73' │
│   196   │ 'DYVEDL' │ 'CSBBYDQVKPKPNO' │       ''       │   '2'    │ '300.22' │
│   197   │ 'CNQWMP' │        ''        │       ''       │   '2'    │ '377.51' │
│   198   │ 'JDFLIV' │        ''        │       ''       │   '1'    │ '285.01' │
│   199   │ 'BMILGT' │ 'DFTBOLXNVAGUKE' │       ''       │   '2'    │ '456.02' │
│   200   │ 'SRKIYK' │ 'KJJDZTDDIUGDAN' │       ''       │   '2'    │ '226.21' │
│   201   │ 'OPVKIC' │        ''        │       ''       │   '1'    │ '57.74'  │
│   202   │ 'TARRRW' │ 'IEKBPBVDBBLTHC' │       ''       │   '2'    │ '118.38' │
│   203   │ 'XGTFAH' │        ''        │       ''       │   '3'    │ '422.29' │
│   204   │ 'HZQAMT' │        ''        │       ''       │   '1'    │ '140.15' │
│   205   │ 'RSHKHV' │        ''        │       ''       │   '3'    │ '261.43' │
│   206   │ 'CYBBNS' │        ''        │       ''       │   '2'    │ '415.18' │
│   207   │ 'WAJPCK' │        ''        │       ''       │   '2'    │ '231.9'  │
│   208   │ 'SCRHUF' │ 'AGQJMCJXWWLXZB' │       ''       │   '2'    │ '353.7'  │
│   209   │ 'OUIXZA' │        ''        │       ''       │   '1'    │ '336.39' │
│   210   │ 'HOXKOQ' │ 'VOPYKPESOPKNUJ' │       ''       │   '1'    │ '347.03' │
│   211   │ 'FXDKNK' │        ''        │       ''       │   '3'    │ '403.07' │
│   212   │ 'BOZJHX' │ 'WRNAJPEGUCGFKB' │ 'HNSWLEULXOTR' │   '2'    │ '172.75' │
│   213   │ 'PAFEXR' │ 'CRSDEKTBVDJFGH' │ 'YMUJPDLGSHQO' │   '2'    │ '143.1'  │
│   214   │ 'UNQIFU' │ 'KCNVWSOWAEVMOK' │       ''       │   '3'    │ '484.67' │
│   215   │ 'SVGWTX' │ 'CABFYGGLXWIBDE' │ 'OUHFLXFIHICW' │   '3'    │ '523.91' │
│   216   │ 'XKJZBG' │        ''        │       ''       │   '1'    │ '399.1'  │
│   217   │ 'LITXBD' │ 'RKXCYQTKAKTOTF' │       ''       │   '1'    │ '325.64' │
│   218   │ 'VFUDJB' │        ''        │       ''       │   '1'    │ '554.23' │
│   219   │ 'QFVSIZ' │        ''        │       ''       │   '2'    │ '203.78' │
│   220   │ 'DZRRVG' │ 'PFODWJWQRDOGNG' │ 'XGWPIFDRGCVE' │   '1'    │ '230.65' │
│   221   │ 'GNFEXO' │ 'NLNFNRSBQBSIXB' │       ''       │   '2'    │ '27.68'  │
│   222   │ 'QWQWOW' │ 'VBRCWRGNGCBBNS' │       ''       │   '1'    │ '140.63' │
│   223   │ 'VZGIXF' │        ''        │       ''       │   '1'    │ '454.07' │
│   224   │ 'OKLYEB' │        ''        │       ''       │   '2'    │ '679.1'  │
│   225   │ 'QWTEKO' │ 'HZTRTRENWUZXZE' │       ''       │   '2'    │ '116.03' │
│   226   │ 'IPLPMJ' │ 'KAYVGQPFVQPWBN' │ 'XHOCQSJRARUG' │   '3'    │ '639.27' │
│   227   │ 'MLMDAH' │        ''        │       ''       │   '3'    │ '42.23'  │
│   228   │ 'CLXZDB' │        ''        │       ''       │   '1'    │ '533.31' │
│   229   │ 'MFILDL' │        ''        │       ''       │   '2'    │ '346.47' │
│   230   │ 'TDDCJU' │ 'LRRXUXIRTTHVNI' │ 'JJZGNMCATUYL' │   '3'    │ '191.4'  │
│   231   │ 'UJRVDP' │ 'ZXLTUDZARXDCWV' │ 'QQVRQQKEFSUD' │   '2'    │ '196.73' │
│   232   │ 'LDYKKW' │ 'SEDEWBHTTEJHME' │       ''       │   '2'    │ '136.4'  │
│   233   │ 'PRAVGF' │ 'WYLMHUIZDIVCAX' │       ''       │   '1'    │ '150.43' │
│   234   │ 'ELJINB' │ 'NYTUDKFLQIVRLX' │ 'DNETKYYGOMIN' │   '2'    │ '448.82' │
│   235   │ 'LATURB' │        ''        │       ''       │   '3'    │ '198.12' │
│   236   │ 'UGNCLB' │        ''        │       ''       │   '2'    │ '339.06' │
│   237   │ 'PPQCAQ' │        ''        │       ''       │   '1'    │ '608.6'  │
│   238   │ 'GMGJTI' │ 'EMRRUSUVDDAKLU' │ 'VICUUZPAONWA' │   '3'    │ '519.1'  │
│   239   │ 'NGPOGH' │ 'WVIXNILLHXPSFV' │ 'GYZQHPQBIDLO' │   '1'    │ '359.67' │
│   240   │ 'AMVHBB' │        ''        │       ''       │   '3'    │ '371.65' │
│   241   │ 'GNZELP' │        ''        │       ''       │   '2'    │ '550.37' │
│   242   │ 'NZIIZF' │ 'HZYCBZEABONAMU' │       ''       │   '3'    │ '134.75' │
│   243   │ 'JUBNZN' │        ''        │       ''       │   '3'    │ '113.72' │
│   244   │ 'RQLJRM' │        ''        │       ''       │   '2'    │ '27.79'  │
│   245   │ 'KEBMJE' │        ''        │       ''       │   '3'    │ '282.97' │
│   246   │ 'MQHWAM' │ 'EZKPOPXHRZEPJX' │       ''       │   '2'    │ '476.89' │
│   247   │ 'QTZJOT' │ 'AEMYWRQTZTIMXI' │ 'QRAUJEYINDUY' │   '3'    │ '638.2'  │
│   248   │ 'WYZSWX' │        ''        │       ''       │   '2'    │ '127.91' │
│   249   │ 'PPVGZR' │ 'WBEBCFNMDHWNPO' │       ''       │   '1'    │ '298.31' │
│   250   │ 'PDMHDZ' │ 'ESSZVMCEAIPYVN' │ 'TVNDQCNKHWBJ' │   '2'    │ '466.04' │
│   251   │ 'GJWBQI' │ 'ACJCXUMQVEWAEI' │ 'HMVNWLDRRXKG' │   '3'    │ '128.11' │
│   252   │ 'FPOSZT' │        ''        │       ''       │   '2'    │ '413.89' │
│   253   │ 'ALMJGF' │        ''        │       ''       │   '3'    │ '219.42' │
│   254   │ 'EKZHQB' │        ''        │       ''       │   '1'    │ '135.93' │
│   255   │ 'DDNOIR' │ 'LIXJFAGPUVHPQW' │ 'XHPAYAYWPPML' │   '3'    │  '653'   │
│   256   │ 'GZZWMQ' │ 'QACGHPRCBSCGBF' │ 'NYNKEFZAEAKN' │   '1'    │ '357.84' │
│   257   │ 'YPHLJJ' │        ''        │       ''       │   '2'    │ '241.78' │
│   258   │ 'DUEBGM' │        ''        │       ''       │   '1'    │ '371.22' │
│   259   │ 'ZYVFYT' │ 'QUWRZCFYCUINZO' │       ''       │   '3'    │ '461.65' │
│   260   │ 'UYQVLI' │        ''        │       ''       │   '3'    │ '419.83' │
│   261   │ 'YDANIO' │ 'FQVEJHMGIDMFUL' │       ''       │   '2'    │ '152.74' │
│   262   │ 'ZSCNTR' │ 'GNFUCJPCCWGJSZ' │       ''       │   '1'    │ '507.79' │
│   263   │ 'GRCNHD' │        ''        │       ''       │   '1'    │ '523.3'  │
│   264   │ 'DHZWYW' │        ''        │       ''       │   '1'    │ '429.43' │
│   265   │ 'NWLFXD' │        ''        │       ''       │   '1'    │ '177.75' │
│   266   │ 'ISPZYM' │ 'SEFMLNSBBYYEMJ' │       ''       │   '3'    │ '571.64' │
│   267   │ 'GHRIYS' │ 'RSZNDNECKISNLB' │ 'LMHCXMSHYUJB' │   '1'    │ '435.33' │
│   268   │ 'OXEMRL' │ 'LMYJDOTNBUCGTB' │ 'YDBBQRQVUUYK' │   '1'    │ '470.19' │
│   269   │ 'NQFZOZ' │        ''        │       ''       │   '3'    │ '492.36' │
│   270   │ 'UHRBHW' │        ''        │       ''       │   '2'    │ '311.24' │
│   271   │ 'RWKNMU' │ 'GWUQILVCDNPSOC' │ 'VLRIBBIZPSUF' │   '1'    │ '62.03'  │
│   272   │ 'WUZIQU' │ 'QRNAVWLPUZQITP' │       ''       │   '3'    │ '392.44' │
│   273   │ 'NMLLXI' │ 'ZYDLMBLFHGZMOS' │ 'CCSFXTPZUSUU' │   '2'    │ '54.37'  │
│   274   │ 'ZDTHHF' │ 'INPGNJINYXUFUF' │ 'ICIUTMBMJLPM' │   '1'    │ '211.79' │
│   275   │ 'UTLTGY' │ 'RUKHEBAJALWYKK' │ 'FLHTALGIMOZF' │   '2'    │ '122.41' │
│   276   │ 'ABRGRN' │        ''        │       ''       │   '2'    │ '24.47'  │
│   277   │ 'TCGWRN' │        ''        │       ''       │   '2'    │ '311.03' │
